K8S-00001 | prod-api | 3 | 42.5 | 1200 | CLUSTER_HEALTH_NOMINAL | RETAIN_CURRENT_POD_REPLICA_COUNT | 200
K8S-00038 | data-pipeline | 5 | 94.1 | 12000 | RESOURCE_SATURATION_WARNING | TRIGGER_DYNAMIC_HORIZONTAL_POD_AUTOSCALING | 202
K8S-00039 | prod-api | 3 | 89.8 | 8500 | RESOURCE_SATURATION_WARNING | TRIGGER_DYNAMIC_HORIZONTAL_POD_AUTOSCALING | 202
K8S-00040 | data-pipeline | 5 | 94.1 | 12000 | RESOURCE_SATURATION_WARNING | TRIGGER_DYNAMIC_HORIZONTAL_POD_AUTOSCALING | 202
K8S-00041 | data-pipeline | 5 | 94.1 | 12000 | RESOURCE_SATURATION_WARNING | TRIGGER_DYNAMIC_HORIZONTAL_POD_AUTOSCALING | 202
K8S-00042 | data-pipeline | 5 | 94.1 | 12000 | RESOURCE_SATURATION_WARNING | TRIGGER_DYNAMIC_HORIZONTAL_POD_AUTOSCALING | 202
K8S-00043 | auth-service | 2 | 15.2 | 350 | CLUSTER_HEALTH_NOMINAL | RETAIN_CURRENT_POD_REPLICA_COUNT | 200
K8S-00044 | data-pipeline | 5 | 94.1 | 12000 | RESOURCE_SATURATION_WARNING | TRIGGER_DYNAMIC_HORIZONTAL_POD_AUTOSCALING | 202
K8S-00045 | prod-api | 3 | 42.5 | 1200 | CLUSTER_HEALTH_NOMINAL | RETAIN_CURRENT_POD_REPLICA_COUNT | 200
K8S-00046 | prod-api | 3 | 42.5 | 1200 | CLUSTER_HEALTH_NOMINAL | RETAIN_CURRENT_POD_REPLICA_COUNT | 200
K8S-00047 | prod-api | 3 | 89.8 | 8500 | RESOURCE_SATURATION_WARNING | TRIGGER_DYNAMIC_HORIZONTAL_POD_AUTOSCALING | 202
K8S-00048 | auth-service | 2 | 15.2 | 350 | CLUSTER_HEALTH_NOMINAL | RETAIN_CURRENT_POD_REPLICA_COUNT | 200
K8S-00049 | auth-service | 2 | 15.2 | 350 | CLUSTER_HEALTH_NOMINAL | RETAIN_CURRENT_POD_REPLICA_COUNT | 200
K8S-00050 | data-pipeline | 5 | 94.1 | 12000 | RESOURCE_SATURATION_WARNING | TRIGGER_DYNAMIC_HORIZONTAL_POD_AUTOSCALING | 202
K8S-00051 | prod-api | 3 | 42.5 | 1200 | CLUSTER_HEALTH_NOMINAL | RETAIN_CURRENT_POD_REPLICA_COUNT | 200
K8S-00052 | prod-api | 3 | 89.8 | 8500 | RESOURCE_SATURATION_WARNING | TRIGGER_DYNAMIC_HORIZONTAL_POD_AUTOSCALING | 202
K8S-00053 | prod-api | 3 | 42.5 | 1200 | CLUSTER_HEALTH_NOMINAL | RETAIN_CURRENT_POD_REPLICA_COUNT | 200
K8S-00054 | auth-service | 2 | 15.2 | 350 | CLUSTER_HEALTH_NOMINAL | RETAIN_CURRENT_POD_REPLICA_COUNT | 200
K8S-00055 | prod-api | 3 | 42.5 | 1200 | CLUSTER_HEALTH_NOMINAL | RETAIN_CURRENT_POD_REPLICA_COUNT | 200
K8S-00056 | auth-service | 2 | 15.2 | 350 | CLUSTER_HEALTH_NOMINAL | RETAIN_CURRENT_POD_REPLICA_COUNT | 200
K8S-00057 | auth-service | 2 | 15.2 | 350 | CLUSTER_HEALTH_NOMINAL | RETAIN_CURRENT_POD_REPLICA_COUNT | 200
K8S-00058 | prod-api | 3 | 42.5 | 1200 | CLUSTER_HEALTH_NOMINAL | RETAIN_CURRENT_POD_REPLICA_COUNT | 200
K8S-00059 | data-pipeline | 5 | 94.1 | 12000 | RESOURCE_SATURATION_WARNING | TRIGGER_DYNAMIC_HORIZONTAL_POD_AUTOSCALING | 202
K8S-00060 | prod-api | 3 | 42.5 | 1200 | CLUSTER_HEALTH_NOMINAL | RETAIN_CURRENT_POD_REPLICA_COUNT | 200
K8S-00061 | prod-api | 3 | 42.5 | 1200 | CLUSTER_HEALTH_NOMINAL | RETAIN_CURRENT_POD_REPLICA_COUNT | 200
K8S-00062 | prod-api | 3 | 89.8 | 8500 | RESOURCE_SATURATION_WARNING | TRIGGER_DYNAMIC_HORIZONTAL_POD_AUTOSCALING | 202
K8S-00063 | data-pipeline | 5 | 94.1 | 12000 | RESOURCE_SATURATION_WARNING | TRIGGER_DYNAMIC_HORIZONTAL_POD_AUTOSCALING | 202
K8S-00064 | auth-service | 2 | 15.2 | 350 | CLUSTER_HEALTH_NOMINAL | RETAIN_CURRENT_POD_REPLICA_COUNT | 200
K8S-00065 | prod-api | 3 | 42.5 | 1200 | CLUSTER_HEALTH_NOMINAL | RETAIN_CURRENT_POD_REPLICA_COUNT | 200
K8S-00066 | prod-api | 3 | 42.5 | 1200 | CLUSTER_HEALTH_NOMINAL | RETAIN_CURRENT_POD_REPLICA_COUNT | 200
K8S-00067 | prod-api | 3 | 42.5 | 1200 | CLUSTER_HEALTH_NOMINAL | RETAIN_CURRENT_POD_REPLICA_COUNT | 200
K8S-00068 | auth-service | 2 | 15.2 | 350 | CLUSTER_HEALTH_NOMINAL | RETAIN_CURRENT_POD_REPLICA_COUNT | 200
K8S-00069 | data-pipeline | 5 | 94.1 | 12000 | RESOURCE_SATURATION_WARNING | TRIGGER_DYNAMIC_HORIZONTAL_POD_AUTOSCALING | 202
K8S-00070 | data-pipeline | 5 | 94.1 | 12000 | RESOURCE_SATURATION_WARNING | TRIGGER_DYNAMIC_HORIZONTAL_POD_AUTOSCALING | 202
K8S-00071 | prod-api | 3 | 42.5 | 1200 | CLUSTER_HEALTH_NOMINAL | RETAIN_CURRENT_POD_REPLICA_COUNT | 200
K8S-00072 | prod-api | 3 | 89.8 | 8500 | RESOURCE_SATURATION_WARNING | TRIGGER_DYNAMIC_HORIZONTAL_POD_AUTOSCALING | 202
K8S-00073 | auth-service | 2 | 15.2 | 350 | CLUSTER_HEALTH_NOMINAL | RETAIN_CURRENT_POD_REPLICA_COUNT | 200
K8S-00074 | data-pipeline | 5 | 94.1 | 12000 | RESOURCE_SATURATION_WARNING | TRIGGER_DYNAMIC_HORIZONTAL_POD_AUTOSCALING | 202
K8S-00075 | prod-api | 3 | 42.5 | 1200 | CLUSTER_HEALTH_NOMINAL | RETAIN_CURRENT_POD_REPLICA_COUNT | 200
K8S-00076 | prod-api | 3 | 89.8 | 8500 | RESOURCE_SATURATION_WARNING | TRIGGER_DYNAMIC_HORIZONTAL_POD_AUTOSCALING | 202
K8S-00077 | prod-api | 3 | 42.5 | 1200 | CLUSTER_HEALTH_NOMINAL | RETAIN_CURRENT_POD_REPLICA_COUNT | 200
K8S-00078 | data-pipeline | 5 | 94.1 | 12000 | RESOURCE_SATURATION_WARNING | TRIGGER_DYNAMIC_HORIZONTAL_POD_AUTOSCALING | 202
K8S-00079 | auth-service | 2 | 15.2 | 350 | CLUSTER_HEALTH_NOMINAL | RETAIN_CURRENT_POD_REPLICA_COUNT | 200
K8S-00080 | prod-api | 3 | 42.5 | 1200 | CLUSTER_HEALTH_NOMINAL | RETAIN_CURRENT_POD_REPLICA_COUNT | 200
K8S-00081 | data-pipeline | 5 | 94.1 | 12000 | RESOURCE_SATURATION_WARNING | TRIGGER_DYNAMIC_HORIZONTAL_POD_AUTOSCALING | 202
K8S-00082 | prod-api | 3 | 89.8 | 8500 | RESOURCE_SATURATION_WARNING | TRIGGER_DYNAMIC_HORIZONTAL_POD_AUTOSCALING | 202
K8S-00083 | prod-api | 3 | 42.5 | 1200 | CLUSTER_HEALTH_NOMINAL | RETAIN_CURRENT_POD_REPLICA_COUNT | 200
K8S-00084 | prod-api | 3 | 42.5 | 1200 | CLUSTER_HEALTH_NOMINAL | RETAIN_CURRENT_POD_REPLICA_COUNT | 200
K8S-00085 | data-pipeline | 5 | 94.1 | 12000 | RESOURCE_SATURATION_WARNING | TRIGGER_DYNAMIC_HORIZONTAL_POD_AUTOSCALING | 202
K8S-00086 | prod-api | 3 | 42.5 | 1200 | CLUSTER_HEALTH_NOMINAL | RETAIN_CURRENT_POD_REPLICA_COUNT | 200
K8S-00087 | prod-api | 3 | 89.8 | 8500 | RESOURCE_SATURATION_WARNING | TRIGGER_DYNAMIC_HORIZONTAL_POD_AUTOSCALING | 202
K8S-00088 | prod-api | 3 | 42.5 | 1200 | CLUSTER_HEALTH_NOMINAL | RETAIN_CURRENT_POD_REPLICA_COUNT | 200
K8S-00089 | auth-service | 2 | 15.2 | 350 | CLUSTER_HEALTH_NOMINAL | RETAIN_CURRENT_POD_REPLICA_COUNT | 200
K8S-00090 | prod-api | 3 | 42.5 | 1200 | CLUSTER_HEALTH_NOMINAL | RETAIN_CURRENT_POD_REPLICA_COUNT | 200
K8S-00091 | prod-api | 3 | 42.5 | 1200 | CLUSTER_HEALTH_NOMINAL | RETAIN_CURRENT_POD_REPLICA_COUNT | 200
K8S-00092 | auth-service | 2 | 15.2 | 350 | CLUSTER_HEALTH_NOMINAL | RETAIN_CURRENT_POD_REPLICA_COUNT | 200
K8S-00093 | auth-service | 2 | 15.2 | 350 | CLUSTER_HEALTH_NOMINAL | RETAIN_CURRENT_POD_REPLICA_COUNT | 200
K8S-00094 | prod-api | 3 | 89.8 | 8500 | RESOURCE_SATURATION_WARNING | TRIGGER_DYNAMIC_HORIZONTAL_POD_AUTOSCALING | 202
K8S-00095 | data-pipeline | 5 | 94.1 | 12000 | RESOURCE_SATURATION_WARNING | TRIGGER_DYNAMIC_HORIZONTAL_POD_AUTOSCALING | 202
K8S-00096 | prod-api | 3 | 42.5 | 1200 | CLUSTER_HEALTH_NOMINAL | RETAIN_CURRENT_POD_REPLICA_COUNT | 200
K8S-00097 | prod-api | 3 | 42.5 | 1200 | CLUSTER_HEALTH_NOMINAL | RETAIN_CURRENT_POD_REPLICA_COUNT | 200
K8S-00098 | data-pipeline | 5 | 94.1 | 12000 | RESOURCE_SATURATION_WARNING | TRIGGER_DYNAMIC_HORIZONTAL_POD_AUTOSCALING | 202
K8S-00099 | data-pipeline | 5 | 94.1 | 12000 | RESOURCE_SATURATION_WARNING | TRIGGER_DYNAMIC_HORIZONTAL_POD_AUTOSCALING | 202
K8S-00100 | auth-service | 2 | 15.2 | 350 | CLUSTER_HEALTH_NOMINAL | RETAIN_CURRENT_POD_REPLICA_COUNT | 200
K8S-00101 | prod-api | 3 | 42.5 | 1200 | CLUSTER_HEALTH_NOMINAL | RETAIN_CURRENT_POD_REPLICA_COUNT | 200
K8S-00102 | data-pipeline | 5 | 94.1 | 12000 | RESOURCE_SATURATION_WARNING | TRIGGER_DYNAMIC_HORIZONTAL_POD_AUTOSCALING | 202
K8S-00103 | data-pipeline | 5 | 94.1 | 12000 | RESOURCE_SATURATION_WARNING | TRIGGER_DYNAMIC_HORIZONTAL_POD_AUTOSCALING | 202
K8S-00104 | prod-api | 3 | 42.5 | 1200 | CLUSTER_HEALTH_NOMINAL | RETAIN_CURRENT_POD_REPLICA_COUNT | 200
K8S-00105 | auth-service | 2 | 15.2 | 350 | CLUSTER_HEALTH_NOMINAL | RETAIN_CURRENT_POD_REPLICA_COUNT | 200
K8S-00106 | prod-api | 3 | 89.8 | 8500 | RESOURCE_SATURATION_WARNING | TRIGGER_DYNAMIC_HORIZONTAL_POD_AUTOSCALING | 202
K8S-00107 | prod-api | 3 | 42.5 | 1200 | CLUSTER_HEALTH_NOMINAL | RETAIN_CURRENT_POD_REPLICA_COUNT | 200
K8S-00108 | data-pipeline | 5 | 94.1 | 12000 | RESOURCE_SATURATION_WARNING | TRIGGER_DYNAMIC_HORIZONTAL_POD_AUTOSCALING | 202
K8S-00109 | auth-service | 2 | 15.2 | 350 | CLUSTER_HEALTH_NOMINAL | RETAIN_CURRENT_POD_REPLICA_COUNT | 200
K8S-00110 | prod-api | 3 | 42.5 | 1200 | CLUSTER_HEALTH_NOMINAL | RETAIN_CURRENT_POD_REPLICA_COUNT | 200
K8S-00111 | auth-service | 2 | 15.2 | 350 | CLUSTER_HEALTH_NOMINAL | RETAIN_CURRENT_POD_REPLICA_COUNT | 200
K8S-00112 | data-pipeline | 5 | 94.1 | 12000 | RESOURCE_SATURATION_WARNING | TRIGGER_DYNAMIC_HORIZONTAL_POD_AUTOSCALING | 202
K8S-00113 | prod-api | 3 | 42.5 | 1200 | CLUSTER_HEALTH_NOMINAL | RETAIN_CURRENT_POD_REPLICA_COUNT | 200
K8S-00114 | prod-api | 3 | 89.8 | 8500 | RESOURCE_SATURATION_WARNING | TRIGGER_DYNAMIC_HORIZONTAL_POD_AUTOSCALING | 202
K8S-00115 | auth-service | 2 | 15.2 | 350 | CLUSTER_HEALTH_NOMINAL | RETAIN_CURRENT_POD_REPLICA_COUNT | 200
K8S-00116 | prod-api | 3 | 42.5 | 1200 | CLUSTER_HEALTH_NOMINAL | RETAIN_CURRENT_POD_REPLICA_COUNT | 200
K8S-00117 | data-pipeline | 5 | 94.1 | 12000 | RESOURCE_SATURATION_WARNING | TRIGGER_DYNAMIC_HORIZONTAL_POD_AUTOSCALING | 202
K8S-00118 | prod-api | 3 | 42.5 | 1200 | CLUSTER_HEALTH_NOMINAL | RETAIN_CURRENT_POD_REPLICA_COUNT | 200
K8S-00119 | auth-service | 2 | 15.2 | 350 | CLUSTER_HEALTH_NOMINAL | RETAIN_CURRENT_POD_REPLICA_COUNT | 200
K8S-00120 | data-pipeline | 5 | 94.1 | 12000 | RESOURCE_SATURATION_WARNING | TRIGGER_DYNAMIC_HORIZONTAL_POD_AUTOSCALING | 202
K8S-00121 | auth-service | 2 | 15.2 | 350 | CLUSTER_HEALTH_NOMINAL | RETAIN_CURRENT_POD_REPLICA_COUNT | 200
K8S-00122 | prod-api | 3 | 42.5 | 1200 | CLUSTER_HEALTH_NOMINAL | RETAIN_CURRENT_POD_REPLICA_COUNT | 200
K8S-00123 | prod-api | 3 | 89.8 | 8500 | RESOURCE_SATURATION_WARNING | TRIGGER_DYNAMIC_HORIZONTAL_POD_AUTOSCALING | 202
K8S-00124 | prod-api | 3 | 89.8 | 8500 | RESOURCE_SATURATION_WARNING | TRIGGER_DYNAMIC_HORIZONTAL_POD_AUTOSCALING | 202
K8S-00125 | auth-service | 2 | 15.2 | 350 | CLUSTER_HEALTH_NOMINAL | RETAIN_CURRENT_POD_REPLICA_COUNT | 200
K8S-00126 | data-pipeline | 5 | 94.1 | 12000 | RESOURCE_SATURATION_WARNING | TRIGGER_DYNAMIC_HORIZONTAL_POD_AUTOSCALING | 202
K8S-00127 | prod-api | 3 | 89.8 | 8500 | RESOURCE_SATURATION_WARNING | TRIGGER_DYNAMIC_HORIZONTAL_POD_AUTOSCALING | 202
K8S-00128 | prod-api | 3 | 42.5 | 1200 | CLUSTER_HEALTH_NOMINAL | RETAIN_CURRENT_POD_REPLICA_COUNT | 200
K8S-00129 | prod-api | 3 | 89.8 | 8500 | RESOURCE_SATURATION_WARNING | TRIGGER_DYNAMIC_HORIZONTAL_POD_AUTOSCALING | 202
K8S-00130 | data-pipeline | 5 | 94.1 | 12000 | RESOURCE_SATURATION_WARNING | TRIGGER_DYNAMIC_HORIZONTAL_POD_AUTOSCALING | 202
K8S-00131 | prod-api | 3 | 89.8 | 8500 | RESOURCE_SATURATION_WARNING | TRIGGER_DYNAMIC_HORIZONTAL_POD_AUTOSCALING | 202
K8S-00132 | prod-api | 3 | 89.8 | 8500 | RESOURCE_SATURATION_WARNING | TRIGGER_DYNAMIC_HORIZONTAL_POD_AUTOSCALING | 202
K8S-00133 | prod-api | 3 | 89.8 | 8500 | RESOURCE_SATURATION_WARNING | TRIGGER_DYNAMIC_HORIZONTAL_POD_AUTOSCALING | 202
K8S-00134 | auth-service | 2 | 15.2 | 350 | CLUSTER_HEALTH_NOMINAL | RETAIN_CURRENT_POD_REPLICA_COUNT | 200
K8S-00135 | prod-api | 3 | 89.8 | 8500 | RESOURCE_SATURATION_WARNING | TRIGGER_DYNAMIC_HORIZONTAL_POD_AUTOSCALING | 202
K8S-00136 | auth-service | 2 | 15.2 | 350 | CLUSTER_HEALTH_NOMINAL | RETAIN_CURRENT_POD_REPLICA_COUNT | 200
K8S-00137 | data-pipeline | 5 | 94.1 | 12000 | RESOURCE_SATURATION_WARNING | TRIGGER_DYNAMIC_HORIZONTAL_POD_AUTOSCALING | 202
K8S-00138 | prod-api | 3 | 89.8 | 8500 | RESOURCE_SATURATION_WARNING | TRIGGER_DYNAMIC_HORIZONTAL_POD_AUTOSCALING | 202
K8S-00139 | prod-api | 3 | 42.5 | 1200 | CLUSTER_HEALTH_NOMINAL | RETAIN_CURRENT_POD_REPLICA_COUNT | 200
K8S-00140 | prod-api | 3 | 89.8 | 8500 | RESOURCE_SATURATION_WARNING | TRIGGER_DYNAMIC_HORIZONTAL_POD_AUTOSCALING | 202
K8S-00141 | data-pipeline | 5 | 94.1 | 12000 | RESOURCE_SATURATION_WARNING | TRIGGER_DYNAMIC_HORIZONTAL_POD_AUTOSCALING | 202
K8S-00142 | prod-api | 3 | 89.8 | 8500 | RESOURCE_SATURATION_WARNING | TRIGGER_DYNAMIC_HORIZONTAL_POD_AUTOSCALING | 202
K8S-00143 | auth-service | 2 | 15.2 | 350 | CLUSTER_HEALTH_NOMINAL | RETAIN_CURRENT_POD_REPLICA_COUNT | 200
K8S-00144 | prod-api | 3 | 89.8 | 8500 | RESOURCE_SATURATION_WARNING | TRIGGER_DYNAMIC_HORIZONTAL_POD_AUTOSCALING | 202
K8S-00145 | prod-api | 3 | 42.5 | 1200 | CLUSTER_HEALTH_NOMINAL | RETAIN_CURRENT_POD_REPLICA_COUNT | 200
K8S-00146 | prod-api | 3 | 42.5 | 1200 | CLUSTER_HEALTH_NOMINAL | RETAIN_CURRENT_POD_REPLICA_COUNT | 200
K8S-00147 | prod-api | 3 | 89.8 | 8500 | RESOURCE_SATURATION_WARNING | TRIGGER_DYNAMIC_HORIZONTAL_POD_AUTOSCALING | 202
K8S-00148 | auth-service | 2 | 15.2 | 350 | CLUSTER_HEALTH_NOMINAL | RETAIN_CURRENT_POD_REPLICA_COUNT | 200
K8S-00149 | data-pipeline | 5 | 94.1 | 12000 | RESOURCE_SATURATION_WARNING | TRIGGER_DYNAMIC_HORIZONTAL_POD_AUTOSCALING | 202
K8S-00150 | prod-api | 3 | 42.5 | 1200 | CLUSTER_HEALTH_NOMINAL | RETAIN_CURRENT_POD_REPLICA_COUNT | 200
K8S-00151 | prod-api | 3 | 42.5 | 1200 | CLUSTER_HEALTH_NOMINAL | RETAIN_CURRENT_POD_REPLICA_COUNT | 200
K8S-00152 | data-pipeline | 5 | 94.1 | 12000 | RESOURCE_SATURATION_WARNING | TRIGGER_DYNAMIC_HORIZONTAL_POD_AUTOSCALING | 202
K8S-00153 | prod-api | 3 | 89.8 | 8500 | RESOURCE_SATURATION_WARNING | TRIGGER_DYNAMIC_HORIZONTAL_POD_AUTOSCALING | 202
K8S-00154 | prod-api | 3 | 42.5 | 1200 | CLUSTER_HEALTH_NOMINAL | RETAIN_CURRENT_POD_REPLICA_COUNT | 200
K8S-00155 | auth-service | 2 | 15.2 | 350 | CLUSTER_HEALTH_NOMINAL | RETAIN_CURRENT_POD_REPLICA_COUNT | 200
K8S-00156 | data-pipeline | 5 | 94.1 | 12000 | RESOURCE_SATURATION_WARNING | TRIGGER_DYNAMIC_HORIZONTAL_POD_AUTOSCALING | 202
K8S-00157 | prod-api | 3 | 89.8 | 8500 | RESOURCE_SATURATION_WARNING | TRIGGER_DYNAMIC_HORIZONTAL_POD_AUTOSCALING | 202
K8S-00158 | auth-service | 2 | 15.2 | 350 | CLUSTER_HEALTH_NOMINAL | RETAIN_CURRENT_POD_REPLICA_COUNT | 200
K8S-00159 | data-pipeline | 5 | 94.1 | 12000 | RESOURCE_SATURATION_WARNING | TRIGGER_DYNAMIC_HORIZONTAL_POD_AUTOSCALING | 202
K8S-00160 | prod-api | 3 | 89.8 | 8500 | RESOURCE_SATURATION_WARNING | TRIGGER_DYNAMIC_HORIZONTAL_POD_AUTOSCALING | 202
K8S-00161 | prod-api | 3 | 89.8 | 8500 | RESOURCE_SATURATION_WARNING | TRIGGER_DYNAMIC_HORIZONTAL_POD_AUTOSCALING | 202
K8S-00162 | auth-service | 2 | 15.2 | 350 | CLUSTER_HEALTH_NOMINAL | RETAIN_CURRENT_POD_REPLICA_COUNT | 200
K8S-00163 | auth-service | 2 | 15.2 | 350 | CLUSTER_HEALTH_NOMINAL | RETAIN_CURRENT_POD_REPLICA_COUNT | 200
K8S-00164 | prod-api | 3 | 89.8 | 8500 | RESOURCE_SATURATION_WARNING | TRIGGER_DYNAMIC_HORIZONTAL_POD_AUTOSCALING | 202
K8S-00165 | data-pipeline | 5 | 94.1 | 12000 | RESOURCE_SATURATION_WARNING | TRIGGER_DYNAMIC_HORIZONTAL_POD_AUTOSCALING | 202
K8S-00166 | data-pipeline | 5 | 94.1 | 12000 | RESOURCE_SATURATION_WARNING | TRIGGER_DYNAMIC_HORIZONTAL_POD_AUTOSCALING | 202
K8S-00167 | data-pipeline | 5 | 94.1 | 12000 | RESOURCE_SATURATION_WARNING | TRIGGER_DYNAMIC_HORIZONTAL_POD_AUTOSCALING | 202
K8S-00168 | auth-service | 2 | 15.2 | 350 | CLUSTER_HEALTH_NOMINAL | RETAIN_CURRENT_POD_REPLICA_COUNT | 200
K8S-00169 | prod-api | 3 | 89.8 | 8500 | RESOURCE_SATURATION_WARNING | TRIGGER_DYNAMIC_HORIZONTAL_POD_AUTOSCALING | 202
K8S-00170 | prod-api | 3 | 42.5 | 1200 | CLUSTER_HEALTH_NOMINAL | RETAIN_CURRENT_POD_REPLICA_COUNT | 200
K8S-00171 | data-pipeline | 5 | 94.1 | 12000 | RESOURCE_SATURATION_WARNING | TRIGGER_DYNAMIC_HORIZONTAL_POD_AUTOSCALING | 202
